English,Bengali
I forget your phone number.,আমি তোমার ফোন নাম্বারটা ভুলে যাই।
I forgot your phone number.,আমি তোমার ফোন নাম্বারটা ভুলে গেছি।
I really do not want to go.,আমি সত্যিই যেতে চাই না।
I want to close my account.,আমি আমার অ্যাকাউন্টটা বন্ধ করতে চাই।
"I was born on June 4, 1974.","আমি ৪ঠা জুন, ১৯৭৪ এ জন্মগ্রহণ করেছিলাম।"
I was humiliated in public.,আমি জনসাধারণের সামনে অপমানিত হলাম।
I was scared half to death.,আমি ভয়ে অর্ধেক হয়ে গেছিলাম।
"I'd like a receipt, please.",অনুগ্রহ করে একটা রিসিট দেবেন।
I'd like to change my room.,আমি আমার ঘরটা পাল্টাতে চাই।
I'm happy to see you again.,তোমাকে আবার দেখে খুশি হয়েছি।
I've met Tom several times.,আমি টমের সাথে অনেকবার দেখা করেছি।
Is there a hospital nearby?,কাছাকাছির মধ্যে কোন হাসপাতাল আছে?
It is just half past seven.,এখন সবে সাড়ে সাতটা বাজে।
It may snow in the evening.,সন্ধ্যেবেলা বরফ পরতে পারে।
It seems interesting to me.,এটা আমার কাছে আকর্ষণীয় মনে হচ্ছে।
It's absolutely impossible.,এটা একেবারে অসম্ভব।
My father drives very well.,আমার বাবা খুব ভাল গাড়ি চালাতে পারে।
My luggage has been stolen.,আমার মালপত্রটা চুরি হয়ে গেছে।
My son is taller than I am.,আমার ছেলে আমার থেকে লম্বা।
One language is not enough.,মাত্র একটি ভাষা যথেষ্ট নয়।
Take good care of yourself.,নিজের দিকে ভালো করে খেয়াল রাখবে।
The church bell is ringing.,চার্চের ঘন্টাটা বাজছে।
The library is to the left.,লাইব্রেরিটা বাঁদিকে।
The rain continued all day.,বৃষ্টিটা সারাদিন ধরে চলেছিল।
The responsibility is mine.,দায়িত্বটা আমার।
The terrorists have failed.,আতঙ্কবাদিরা ব্যর্থ হলো।
This is never going to end.,এটা কখনোই শেষ হবে না।
This river is deepest here.,এই নদীটা এইখানে সবথেকে গভীর ।
Tom and Mary are screaming.,টম আর মেরি চিৎকার করছে।
Tom doesn't have any proof.,টমের কাছে কোনো প্রমান নেই।
Tom is taking a big chance.,টম একটা বড় ঝুঁকি নিচ্ছে।
Tom is waiting impatiently.,টম অধৈর্যভাবে অপেক্ষা করছে।
Tom started singing a song.,টম একটা গান গাইতে শুরু করলো।
Tom waited on the platform.,টম প্ল্যাটফর্মে অপেক্ষা করলো।
Tom wants to eat lunch now.,টম এখন লাঞ্চ খেতে চায়।
Tom was arrested on Monday.,টম সোমবার গ্রেফতার হয়েছে।
Tom was crying like a baby.,টম বাচ্চার মত কাঁদছিলো।
Tom was humiliated by Mary.,টম মেরি দ্বারা অপদস্ত হয়েছিলো।
Tom was utterly humiliated.,টম চূড়ান্তভাবে অপদস্ত হোল।
Tom's father is a musician.,টমের বাবা একজন সুরকার।
Wait here till I come back.,আমি আসা পর্যন্ত এখানে অপেক্ষা করবেন।
We can't blame anyone else.,আমরা অন্য কাউকে দোষারোপ করতে পারি না।
We don't care what he does.,উনি কী করেন না করেন আমরা তা কেয়ার করি না।
We need to leave right now.,আমাদের এখনি বেরানো উচিত।
What Tom did was dangerous.,টম যেটা করলো সেটা বিপজ্জনক।
What are you talking about?,তুমি কিসের ব্যপারে কথা বলছো?
What time do you go to bed?,তুমি কটার সময় ঘুমাতে যাও?
What would you like to eat?,তুমি কি খাবে?
What's the meaning of that?,ওটার মানে কী?
Where's the ticket counter?,টিকিট কাউন্টারটা কোথায়?
Whose phone number is this?,এটা কার ফোন নাম্বার?
World War II ended in 1945.,দ্বিতীয় বিশ্বযুদ্ধ ১৯৪৫ সালে সমাপ্ত হয়েছিল।
You must go to the dentist.,তোমার দাঁতের ডাক্তারের কাছে যাওয়া উচিৎ।
You ought to see a dentist.,তোমার একজন দাঁতের ডাক্তার দেখানো উচিৎ।
You were Tom's only friend.,তুমিই টমের একমাত্র বন্ধু ছিলে।
Your mother died yesterday.,তোমার মা গতকাল মারা গেছেন।
All Tom wants to do is fish.,টম খালি মাছই ধরতে চায়।
Are you busy tomorrow night?,তুমি কি কাল রাতে ব্যস্ত থাকবে?
Can I leave my luggage here?,আমি কি আমার মালপত্র এখানে রেখে যেতে পারি?
Can I take photographs here?,আমি কি এখানে ছবি তুলতে পারি?
Columbus discovered America.,কলোম্বাস আমেরিকা আবিষ্কার করেছেন।
Do you want to learn French?,তুমি কি ফরাসি শিখতে চাও?
Does Tom want to see me now?,টম কি আমার সাথে এখন দেখা করতে চায়?
Everybody desires happiness.,সবাই সুখ কামনা করে।
Everybody wants recognition.,সবাই স্বীকৃতি চায়।
Grammar is very complicated.,ব্যাকরণ খুব জটিল।
Have you ever broken a bone?,তোমার কখনো হাড় ভেঙেছে?
How long do you want it for?,তোমার এটা কত দিনের জন্য চাই?
How long does the trip take?,যাত্রাটা কতক্ষণ লাগবে?
How long will you stay here?,তুমি এখানে কতক্ষণ থাকবে?
How much are these potatoes?,এই আলুগুলো কত করে?
How old is your grandfather?,তোমার দাদুর বয়স কত?
I am going to Osaka station.,আমি ওসাকা স্টেশনে যাচ্ছি।
I asked Tom to come with me.,আমি টমকে আমার সাথে আসতে বললাম।
I asked Tom where he'd been.,আমি টমকে জিজ্ঞাসা করলাম যে সে কোথায় ছিলো।
I asked Tom where he'd gone.,আমি টমকে জিজ্ঞাসা করলাম যে সে কোথায় গেছিলো।
I believe Tom is doing well.,আমার মনে হয় টম ভালোই আছে।
I believe you both know Tom.,আমার মনে হয় তোমরা দুজনেই টমকে চেনো।
I believed what Tom told me.,টম আমাকে যা বলেছিল আমি তা বিশ্বাস করেছিলাম।
I blame Tom for all of this.,এই সমস্ত কিছুর জন্য আমি টমকে দোষ দেব।
I called my good friend Tom.,আমি আমার ভালো বন্ধু টমকে ফোন করেছিলাম।
I can swim across the river.,আমি নদি সাঁতরে পার হতে পারি।
I can't be friends with Tom.,আমি টমের সঙ্গে বন্ধুত্ব রাখতে পারব না।
I can't think about Tom now.,আমি এখন টমের ব্যাপারে ভাবতে পারছি না।
I couldn't keep up with Tom.,আমি টমের সঙ্গে পেরে উঠিনি।
I didn't know Tom had a dog.,আমি জানতাম না যে টমের একটা কুকুর ছিল।
I didn't want Tom to see me.,আমি চাইছিলাম না টম আমাকে দেখতে পাক।
I didn't want to insult Tom.,আমি টমকে অপমান করতে চাই নি।
I don't know Tom personally.,আমি টমকে ব্যক্তিগতভাবে চিনি না।
I don't know who killed Tom.,টমকে কে মেরেছে আমি জানি না।
I don't need to talk to Tom.,আমার টমের সঙ্গে কথা বলার কোনো প্রয়োজন নেই।
I don't think Tom hates you.,আমার মনে হয় না টম আপনাকে ঘৃণা করে।
I don't think Tom likes you.,আমার মনে হয় না টম আপনাকে পছন্দ করে।
I don't want Tom to find me.,আমি চাই না টম আমাকে খুঁজে পাক।
I don't want Tom to hate me.,আমি চাই না টম আমাকে ঘৃণা করুক।
I don't want Tom to help me.,আমি চাই না টম আমাকে সাহায্য করুক।
I don't want to disturb Tom.,আমি টমকে বিরক্ত করতে চাই না।
I don't want to go near Tom.,আমি টমের কাছে যেতে চাই না।
I don't want to go with Tom.,আমি টমের সঙ্গে যেতে চাই না।
I don't want to look at Tom.,আমি টমের দিকে তাকাতে চাই না।
I don't want to talk to Tom.,আমি টমের সঙ্গে কথা বলতে চাই না।
I don't want to wake Tom up.,আমি টমকে জাগাতে চাই না।
I finally beat Tom at chess.,আমি অবশেষে টমকে দাবায় হারিয়েছি।
I found my hat in Tom's car.,আমি আমার টুপিটি টমের গাড়িতে পেয়েছি।
I go shopping every morning.,আমি প্রত্যেকদিন সকালে দোকানে যাই।
I got a call from Tom today.,আজ আমি টমের কাছ থেকে একটি কল পেয়েছিলাম।
I got up at 8 o'clock today.,আমি আজ ৮টার সময় উঠেছি।
I had nothing to say to Tom.,আমার টমকে কিছুই বলার ছিল না।
I had to show Tom something.,আমার টমকে কিছু দেখানোর ছিল।
I have to ask Tom something.,আমার টমকে কিছু জিজ্ঞাসা করার আছে।
I just want Tom to be happy.,আমি খালি চাই টম সুখে থাকুক।
I just want Tom to get well.,আমি খালি চাই টম ভাল হয়ে উঠুক।
I need a box about this big.,আমার একটা এই রকম বড় বাক্স দরকার।
I need to get off this ship.,আমাকে এই জাহাজ থেকে নেমে যেতে হবে।
I shouldn't have logged off.,আমার লগ আউট করা উচিৎ হয়নি।
I thought Tom was different.,আমি ভেবছিলাম টম অন্যরকম।
I thought Tom was in Boston.,আমি ভেবেছিলাম টম বস্টনে।
I thought Tom was in danger.,আমি ভেবেছিলাম টম বিপদে পরেছে।
I thought Tom was with Mary.,আমি ভেবছিলাম টম মেরির সঙ্গে ছিল।
I thought Tom would love it.,আমি ভেবছিলাম টমের এটা ভাল লাগবে।
I understand your situation.,আমি তোমার অবস্থাটা বুঝতে পারছি।
I want Tom brought here now.,আমি চাই টমকে এখানে নিয়ে আসা হোক।
I want three pairs of socks.,আমার তিন জোরা মোজা চাই।
I want to ask Tom something.,আমি টমকে কিছু জিজ্ঞাসা করতে চাই।
I want to ask you about Tom.,আমি তোমার কাছে টমের ব্যপারে জিজ্ঞাসা করতে চাই।
I want to be as rich as Tom.,আমি টমের মত বড়লোক হতে চাই।
I want to be as tall as Tom.,আমি টমের মত লম্বা হতে চাই।
I want to know where Tom is.,আমি চাই টম কোথায় আছে।
I want to make a local call.,আমি একটা লোকাল কল করতে চাই।
I want to see how Tom lives.,আমি দেখতে চাই টম কেমন ভাবে থাকে।
I want to send Tom a letter.,আমি টমকে একটা চিঠি পাঠাতে চাই।
I want to talk to Tom alone.,আমি টমের সঙ্গে একলা কথা বলতে চাই।
I want to talk to Tom first.,আমি সবার প্রথমে টমের সঙ্গে কথা বলতে চাই।
I want you to stay with Tom.,আমি চাই তুমি টমের সঙ্গে থাকো।
I want you to work with Tom.,আমি চাই তুমি টমের সঙ্গে কাজ করো।
I'd like to open an account.,আমি একটা অ্যাকাউন্ট খুলতে চাই।
I'd like you to call me Tom.,আমার ইচ্ছা যে তুমি টমকে ডাকো।
I'd like you to talk to Tom.,আমার ইচ্ছা যে তুমি টমের সঙ্গে কথা বলো।
I'll be back tomorrow night.,আমি কাল রাতে ফিরে আসবো।
"I'm a little busy here, Tom.","টম, আমি এখানে একটু ব্যস্ত আছি।"
I'm genuinely happy for Tom.,আমি সত্যি সত্যিই টমের জন্য খুশি হয়েছি।
"I'm just looking, thank you.","আমি খালি দেখছি, ধন্যবাদ।"
I'm not proud of what I did.,আমি যা করেছি তাতে আমি গর্বিত নই।
I'm not very busy right now.,আমি এই মুহূর্তে খুব একটা ব্যস্ত নই।
I'm not very good at French.,আমি ফরাসিতে খুব একটা ভালো নই।
I've learned a lot from Tom.,আমি টমের থেকে অনেক কিছু শিখেছি।
I've learned a lot from you.,আমি তোমার থেকে অনেক কিছু শিখেছি।
I've made that same mistake.,আমি একই ভুল করেছি।
I've never seen Tom happier.,আমি টমকে এর থেকে খুশি কখনো দেখিনি।
Is that your new girlfriend?,ওটা কি তোমার নতুন বান্ধবী?
It was entirely Tom's fault.,এটা পুরোপুরিই টমের দোষ ছিলো।
It's been snowing all night.,সারা রাত ধরে বরফ পরছে।
Let's find out where Tom is.,টম কোথায় আছে খোঁজা যাক।
Let's see what Tom is up to.,দেখা যাক টম কি করছে।
Let's try to make Tom laugh.,টমকে হাসানোর চেষ্টা করা যাক।
Most people think I'm crazy.,বেশীভাগ লোক আমাকে পাগল ভাবে।
My luggage has been damaged.,আমার মালপত্রটা ক্ষতিগ্রস্ত হয়েছে।
My luggage has just arrived.,আমার মালপত্রটা সবে এলো।
Rabbits like to eat carrots.,খরগোশ গাজর খেতে পছন্দ করে।
She didn't tell me her name.,উনি আমাকে ওনার নাম বলেননি।
She was wearing a black hat.,সে একটা কালো টুপি পরেছিল।
"Take off your socks, please.",অনুগ্রহ করে মোজাটা খুলবেন।
"Thank you very much, doctor.","অনেক অনেক ধন্যবাদ, ডাক্তারবাবু।"
The ambassador has returned.,রাষ্ট্রদূতটি ফিরে এসেছেন।
The summer vacation is over.,গরমের ছুটি শেষ।
Thirteen people were killed.,তেরোজন লোক নিহত হয়েছেন।
This is completely my fault.,এটা পুরোপুরিই আমার দোষ।
Today is a national holiday.,আজ রাষ্ট্রীয় ছুটির দিন।
Tom and Mary are very happy.,টম আর মেরি খুব খুশি।
Tom and Mary want to see us.,টম আর মেরি আমাদের সঙ্গে দেখা করতে চায়।
Tom didn't show me anything.,টম আমাকে কিছুই দেখায়নি।
Tom doesn't even want to go.,এমনকি টম যেতেও চায় না।
Tom doesn't look very happy.,টমকে দেখে খুব খুশি বলে মনে হচ্চে না।
Tom doesn't want to be here.,টম এখানে থাকতে চায় না।
Tom doesn't want to do that.,টম ওটা করতে চায় না।
Tom doesn't want to do this.,টম এটা করতে চায় না।
Tom doesn't want to give up.,টম হাল ছেড়ে দিতে চায় না।
Tom doesn't want to hear it.,টম এটা শুনতে চায় না।
Tom doesn't want to hurt us.,টম আমাদের আঘাত দিতে চায় না।
Tom doesn't want to see you.,টম তোমার সঙ্গে দেখা করতে চায় না।
Tom has never been so happy.,টম এত খুশি কখনো হয় নি।
Tom is a handsome young man.,টম একটি সুদর্শন যুবক।
Tom is currently unemployed.,টম ইদানিং বেকার।
Tom is definitely not happy.,টম স্পষ্টতই খুশি নয়।
"Tom is in trouble, isn't he?","টম ঝামেলায় পরেছে, তাই না?"
Tom is learning programming.,টম প্রোগ্রামিং শিখছে।
Tom is not happy about this.,টম এটার ব্যপারে খুশি নয়।
Tom is not happy to be here.,টম এখানে খুশি নয়।
Tom is obviously in trouble.,টম স্পষ্টতই ঝামেলায় পরেছে।
Tom looked around carefully.,টম সাবধানে চারপাশে তাকিয়ে দেখল।
Tom may not want to do that.,টম ওটা নাও করতে চাইতে পারে।
Tom seemed happy to see you.,টম আপনাকে দেখে খুশি বলে মনে হচ্চে।
Tom seems happy and excited.,টমকে দেখে খুশি আর উদ্দীপিত বলে মনে হচ্চে।
Tom still has a few options.,টমের এখনও কিছু বিকল্প আছে।
Tom used to play the guitar.,টম গীটার বাজাতো।
Tom waited outside the gate.,টম গেটের বাইরে অপেক্ষা করলো।
Tom wanted advice from Mary.,টম মেরির কাছ থেকে পরামর্শ চেয়েছিল।
Tom wanted to be a minister.,টম মন্ত্রী হতে চেয়েছিলো।
Tom wanted to know the time.,টম সময় জানতে চেয়েছিল।
Tom wanted to talk with you.,টম তোমার সাথে কথা বলতে চেয়েছিল।
Tom wanted to visit America.,টম আমেরিকা যেতে চেয়েছিলো.
Tom wanted you to have this.,টম চেয়েছিল তুমি এটা নাও।
Tom wants his umbrella back.,টম ওর ছাতাটা ফেরত চায়।
Tom wants me to go with him.,টম চায় আমি ওর সঙ্গে যাই।
Tom wants to go job hunting.,টম চাকরির খোঁজে যেতে চায়।
Tom wants to speak with you.,টম তোমার সাথে কথা বলতে চায়।
Tom was such a happy person.,টম কত সুখি মানুষ ছিল।
Tom was very busy with work.,টম কাজ নিয়ে খুব ব্যস্ত ছিল।
Tom wrote a song about Mary.,টম মেরিকে নিয়ে একটা গান লিখলো।
"Tom's hiding something, too.",টমও কিছু লুকাচ্ছে।
"Tom, I want to talk to Mary.","টম, আমি মেরির সঙ্গে কথা বলতে চাই।"
Tomorrow I'm going to Paris.,কাল আমি প্যারিস যাচ্ছি।
We all want Tom to be happy.,আমরা সবাই চাই টম সুখে থাকুক।
We heard Tom was in trouble.,আমরা শুনলাম টম ঝামেলায় পরেছিল।
We just want to talk to Tom.,আমরা খালি টমের সাথে কথা বলতে চাই।
We played football together.,আমরা একসাথে ফুটবল খেলতাম।
We used to play in the park.,আমরা পার্কে খেলতাম।
We wanted to talk about Tom.,আমরা টমের ব্যপারে কথা বলতে চেয়েছিলাম।
We were playing in the park.,আমরা পার্কে খেলছি।
What team does Tom play for?,টম কোন দলের হয়ে খেলে?
What's the admission charge?,প্রবেশমূল্য কত?
"When Tom's happy, I'm happy.","যখন টম খুশি, তখন আমিও খুশি।"
Where do I claim my baggage?,আমি আমার মালপত্র কোথা থেকে দাবি করব?
Where is the duty-free shop?,শুল্কমুক্ত জিনিস কেনার দোকানটা কোথায়?
Why do you want to hurt Tom?,তুমি টমকে আঘাত দিতে চাও কেন?
Why do you want to meet Tom?,তুমি টমের সঙ্গে কেন দেখা করতে চাও?
You must show your passport.,আপনাকে পাসপোর্ট দেখাতে হবে।
You're not paying attention.,তুমি কিন্তু মনোযোগ দিচ্ছো না।
You're so impatient with me.,তুমি আমার প্রতি বড্ড অধৈর্য্য।
Your parents would be proud.,তোমার বাবা-মা গর্বিত হতেন।
"She likes music. ""So do I.""","ও সঙ্গীত ভালোবাসে। ""আমিও।"""
All my friends will be there.,আমার সব বন্ধুরা ওখানে থাকবে।
Buddhism originated in India.,বৌদ্ধধর্মের উৎপত্তি ভারতে।
Can I ask you some questions?,আমি কি তোমাকে কিছু প্রশ্ন জিজ্ঞাসা করতে পারি?
Democracy encourages freedom.,গণতন্ত্র স্বাধীনতাকে অনুপ্রাণিত করে।
Don't speak to Tom like that.,টমের সাথে ওইভাবে কথা বলবেন না।
Football is my favorite game.,ফুটবল আমার প্রিয় খেলা।
French is my native language.,ফরাসি আমার মাতৃভাষা।
Have you ever been to Boston?,তুমি কি কখনো বস্টন গেছো?
Have you ever been to Europe?,তুমি কখনো ইউরোপে গেছো?
Have you ever eaten raw fish?,তুমি কখনো কাঁচা মাছ খেয়েছো?
Have you ever ridden a horse?,তুমি কখনো ঘোড়ায় চড়েছো?
Have you ever visited Boston?,তুমি কি কখনো বস্টন দেখতে গেছো?
He can say whatever he wants.,ওনার যা ইচ্ছে উনি বলতে পারেন।
He is a teacher and novelist.,উনি একজন শিক্ষক এবং ঔপন্যাসিক।
He is an experienced teacher.,উনি একজন অভিজ্ঞ শিক্ষক।
How can I get to the airport?,আমি এয়ারপোর্টে কিভাবে যাব?
How can I get to the station?,আমি স্টেশনে কিভাবে যাব?
How did you come to know her?,তুমি ওকে চিনলে কি কোরে?
How far is it to the airport?,এয়ারপোর্ট কত দুর এখান থেকে?
How much is the entrance fee?,প্রবেশমূল্য কত?
I didn't want this to happen.,আমি চাইনি এটা ঘটুক।
I don't feel like eating now.,আমার এখন খেতে ইচ্ছে করছে না।
I don't like to drink coffee.,আমার কফি খেতে ভালো লাগে না।
I don't use Facebook anymore.,আমি আর ফেসবুক ব্যবহার করি না।
I don't want to be like that.,আমি ওইরকম হতে চাই না।
I found the book interesting.,আমার বইটা আকর্ষণীয় বলে মনে হয়েছিল।
I have a three-year contract.,আমার কাছে তিন বছরের চুক্তি আছে।
I never listen to Tom anyway.,আমি এমনিতেও কখনও টমের কথা শুনি না।
I only speak French with Tom.,আমি টমের সঙ্গে খালি ফরাসি ভাষায় কথা বলি।
I only speak a little French.,আমি খালি একটু ফরাসি ভাষায় কথা বলি।
I used to swim in this river.,আমি এই নদীতে সাঁতার কাটতাম।
I want to deposit some money.,আমি কিছু টাকা জমা করতে চাই।
I'd like to cancel my ticket.,আমি আমার টিকিটটি বাতিল করতে চাই।
I'd like to change my ticket.,আমি আমার টিকিটটি পালটাতে চাই।
I'll certainly come tomorrow.,আমি নিশ্চই আগামীকাল আসবো।
I'm catching the 11:00 train.,আমি ১১ঃ০০টার ট্রেনটা ধরতে যাচ্ছি।
I'm not proud of how I acted.,আমি যে ভাবে ব্যবহার করেছি তাতে আমি গর্বিত নই।
I'm sorry I kept you waiting.,আমাকে ক্ষমা করবেন আমি আপনাকে অপেক্ষা করিয়ে রেখেছিলাম।
"I'm sorry, I can't stay long.","আমায় ক্ষমা করবেন, আমি বেশিক্ষণ থাকতে পারবো না।"
I'm starting to learn French.,আমি ফরাসি শেখা শুরু করছি।
It was dark under the bridge.,ব্রিজের নিচে অন্ধকার ছিল।
Mary arrived at the hospital.,মেরি হাসপাতালে পৌছালো।
Meat should not be eaten raw.,মাংস কাঁচা খাওয়া উচিৎ নয়।
My son is studying economics.,আমার ছেলে অর্থনীতি পড়ছে।
My stomach hurts after meals.,খাওয়ার পর আমার পেট ব্যাথা করে।
One language is never enough.,মাত্র একটি ভাষা যথেষ্ট নয়।
People from Madrid are weird.,ম্যাড্রিডের মানুষরা অদ্ভুত হয়।
Please look after my luggage.,দয়া করে আমার মলপত্রটা দেখবেন।
Some people started laughing.,কেউ কেউ হাসতে শুরু করলো।
That's because you're a girl.,তার কারণ তুমি একজন মেয়ে।
The museum is closed Sundays.,জাদুঘরটা রবিবার করে বন্ধ থাকে।
There's one cup on the table.,টেবিলটার উপর একটা কাপ রয়েছে।
They visited me occasionally.,ওনারা আমাকে মাঝেমধ্যে দেখতে আসতেন।
They wanted to steal the car.,তারা গাড়িটা চুরি করতে চাইলো।
This is completely different.,এটা সম্পুর্ণ আলাদা।
This is the only alternative.,এটাই একমাত্র বিকল্প।
This is totally unacceptable.,এটা সম্পুর্ণরূপে গ্রহণযোগ্য নয়।
This room is air-conditioned.,এই ঘরটি শীতাতপ নিয়ন্ত্রিত।
Tom flew to Boston yesterday.,টম গতকাল বস্টন উড়ে গেছে।
Tom kept silent all day long.,টম সারাদিন চুপচাপ ছিল।
Tom waited to hear from Mary.,টম মেরির কাছ থেকে খবর পাওয়ার জন্য অপেক্ষা করে ছিল।
Tom will be thirty next year.,টম পরের বছর তিরিশে পা দেবে।
"Turn down the volume, please.",অনুগ্রহ করে আওয়াজটা একটু কমান।
We actually saw the accident.,আমরা কার্যত দুর্ঘটনাটা দেখলাম।
We both know that's not true.,আমরা দুজনেই জানি যে সেটা সত্যি নয়।
We get together once a month.,আমরা মাসে একবার করে একত্রিত হই।
We have to move very quickly.,আমাদেরকে খুব তাড়াতাড়ি চলতে হবে।
We traveled in South America.,আমরা দক্ষিণ আমেরিকাতে ঘুরলাম।
What time does the bus leave?,বাসটা কটার সময় ছাড়ে?
What's this called in French?,ফরাসিতে এটাকে কী বলে?
When does the next bus leave?,পরের বাসটি কখন ছাড়বে?
When is the breakfast served?,সকালের খাওয়াটা কখন দেওয়া হয়?
Where can I buy one of those?,আমি ওইগুলোর একটা কোথা থেকে কিনতে পারব?
Where can I claim my luggage?,আমি কোথা থেকে আমার মালপত্রটা পাব?
Where's the nearest hospital?,কাছাকাছির মধ্যে হাসপাতালটা কোথায় আছে?
Who wants some hot chocolate?,কার একটু হট চকোলেট চাই?
Close the door when you leave.,বেড়োবার সময় দরজাটা বন্ধ করে দিও।
Could we have a table outside?,আমরা কি বাইরে একটা টেবিল পেতে পারি?
Do you have any cheaper rooms?,আরও সস্তা কোন ঘর আছে?
Do you understand what I mean?,আমি কী বলতে চাইছি তুমি বুঝতে পারছো?
Do you want to eat now or not?,তুমি এখন খেতে চাও কি না?
He is a very important person.,উনি একজন গুরুত্বপূর্ণ ব্যক্তি।
I am looking for a good hotel.,আমি একটা ভাল হোটেল খুঁজছি।
I couldn't move my right foot.,আমি আমার ডান পাটা নাড়াতে পারিনি।
I don't go to work on Sundays.,আমি রবিবার করে কাজে যাই না।
I found that book interesting.,আমার ওই বইটা আকর্ষণীয় বলে মনে হয়েছিল।
I found this book interesting.,আমার এই বইটা আকর্ষণীয় বলে মনে হয়েছিল।
I got on the train for London.,আমি লন্ডনে যাওয়ার ট্রেনে উঠেছিলাম।
I haven't done this for years.,আমি এটা অনেক বছর ধরে করিনি।
I just don't know what to say.,আমি জানিনা ঠিক কি বলবো।
I learned to live without her.,আমি তাকে ছাড়া বাঁচতে শিখেছি।
I like reading mystery novels.,আমার রহস্য উপন্যাস পড়তে ভালো লাগে।
I want to be more independent.,আমি আরও স্বাধীন হতে চাই।
I want to eat Chinese noodles.,আমি চাইনিজ নুডলস খেতে চাই।
I went to the Jacksons' house.,আমি জ্যাকসনদের বাড়ি গিয়েছিলাম।
I'd like a first-class ticket.,আমার একটা প্রথম শ্রেণীর টিকিট চাই।
I'd like to confirm my ticket.,আমি আমার টিকিটটি নিশ্চিত করতে চাই।
I'm not very good at swimming.,আমি সাঁতারে খুব একটা ভালো নই।
Is Tom Jackson your real name?,টম জ্যাকসন কি তোমার আসল নাম?
Is there a hospital near here?,এখানে কাছাকাছির মধ্যে কোনো হাসপাতাল আছে?
It was cheaper than I thought.,আমি যা ভেবেছিলাম তার থেকে অনেক সস্তা ছিল।
Japanese is our mother tongue.,আমাদের মাতৃভাষা জাপানী।
My father can fly an airplane.,আমার বাবা প্লেন ওড়াতে পারে।
My luggage hasn't arrived yet.,আমার মালপত্র এখনো এসে পৌঁছায়নি।
Nobody answered the telephone.,কেউই ফোনটার জবাব দিলো না।
"Show me a cheaper one, please.",আমাকে আরো সস্তা একটা দেখান।
That experiment was a failure.,ওই গবেষণাটি অসফল হয়েছিলো।
That's what I was looking for.,আমি এইটাই খুজছিলাম।
The experiment was successful.,গবেষণাটি সফল হয়েছিলো।
The station is two miles away.,স্টেশনটা দু মাইল দূরে।
There are many people in Asia.,এশিয়াতে অনেক লোক আছে।
There's a mistake in the bill.,বিলটায় একটা ভুল আছে।
Those two pieces fit together.,ওই দুটো টুকরো একসাথে এঁটে যায়।
Tom always keeps his promises.,টম সবসময় তার কথা রাখে।
Tom and Mary both are artists.,টম আর মেরি শিল্পী।
Tom asked me where Mary lived.,মেরি কোথায় থাকে সেটা টম জানতে চাইল।
Tom certainly is good-looking.,টম সত্যিই খুব সুদর্শন।
Tom certainly is hypocritical.,টম সত্যিই কুটিল।
Tom doesn't know Mary is here.,টম জানে না যে মেরি এখানে।
Tom earns twice as much as me.,টম আমার থেকে দ্বিগুন আয় করে।
Tom kept silent during dinner.,টম রাতের খাবারের সময় চুপচাপ ছিল।
Tom says he's going to resign.,টম বলছে যে ও পদত্যাগ করবে।
Tom started cursing in French.,টম ফরাসিতে গালাগালি দেওয়া শুরু করলো।
Tom tried to keep his chin up.,টম তার মুখ উঁচু রাখার চেষ্টা করেছিল।
Tom used to be scared of dogs.,টমের কুকুরের প্রতি ভয় ছিলো।
Tom was killed in an accident.,টম একটা দুর্ঘটনায় মারা গেছে।
Turn right at the next corner.,পরের মোড়টায় ডানদিকে বেঁকে যাবেন।
We both know this isn't right.,আমরা দুজনেই জানি যে এটা ঠিক নয়।
What time does the ship leave?,জাহাজটা কটার সময় ছাড়ে?
When do you usually go to bed?,তুমি সাধারণত কটার সময় শুতে যাও?
Where are you going on Monday?,সোমবার তুমি কোথায় যাচ্ছো?
Where can I buy that magazine?,আমি ওই পত্রিকাটা কোথা থেকে কিনতে পারব?
Why aren't you coming with us?,আমাদের সাথে আসছেন না কেন?
Would you like to come inside?,তুমি কি ভেতরে আসবে?
You can eat anything you want.,তোমার যেটা ইচ্ছে হয় সেটা খেতে পারো।
You can eat whatever you like.,তোমার যা ইচ্ছে তাই খেতে পারো।
Your bike is better than mine.,তোমার বাইকটা আমারটা থেকে ভাল।
"I want to go home. ""So do I.""","আমি বাড়ি যেতে চাই। ""আমিও।"""
Anyone may use this dictionary.,যে কেউ এই অভিধানটি ব্যবহার করতে পারেন।
"Can you gift-wrap this, please?",এটা কি একটু গিফট-র‍্যাপ করে দিতে পারবেন?
Finish it before you go to bed.,ঘুমাতে যাওয়ার আগে ওটা শেষ করে ফেলুন।
He eats nothing else but fruit.,সে ফল ছাড়া আর কিছুই খায় না।
He is actually not the manager.,উনি আসলে ম্যানেজারই নন।
How do you pronounce this word?,এই শব্দটির উচ্চারণ কিভাবে করতে হয়?
How do you say that in Italian?,ইতালীয়তে এটা কিভাবে বলে?
How many museums did you visit?,তুমি কতগুলো জাদুঘর ঘুরেছো?
How many songs has Tom written?,টম কতগুলো গান লিখেছে?
I am going to America by plane.,আমি বিমানে করে আমেরিকা যাচ্ছি।
I can't believe I believed Tom.,আমি এখনো বিশ্বাস করতে পারছি না যে আমি টমকে বিশ্বাস করেছিলাম।
